State,Year,Quarter,Brands,Count,Percentage
arunachal-pradesh,2020,2,Samsung,34984,20.0
arunachal-pradesh,2020,2,Oppo,27629,16.0
arunachal-pradesh,2020,2,Realme,11596,7.0
arunachal-pradesh,2020,2,Apple,3398,2.0
arunachal-pradesh,2020,2,Gionee,2355,1.0
arunachal-pradesh,2020,2,Huawei,2019,1.0
arunachal-pradesh,2020,2,Motorola,1873,1.0
arunachal-pradesh,2020,2,OnePlus,1809,1.0
arunachal-pradesh,2020,2,Others,11120,6.0
arunachal-pradesh,2020,3,Xiaomi,47870,23.0
arunachal-pradesh,2020,3,Vivo,46799,23.0
arunachal-pradesh,2020,3,Samsung,40403,20.0
arunachal-pradesh,2020,3,Oppo,32287,16.0
arunachal-pradesh,2020,3,Realme,13982,7.0
arunachal-pradesh,2020,3,Apple,3738,2.0
arunachal-pradesh,2020,3,Gionee,2514,1.0
arunachal-pradesh,2020,3,Huawei,2276,1.0
arunachal-pradesh,2020,3,Motorola,1997,1.0
